City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Cepu,ID,76.6,scattered clouds,-7.1475,111.5906,OYO 673 Hotel Cepu Indah 1
274,Pandan,PH,79.68,overcast clouds,14.0453,124.1694,Bonifacio Lodge
278,Grand-Santi,GF,76.57,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
279,Semnan,IR,76.21,clear sky,35.5729,53.3971,Semnan Tourist Hotel
281,Harper,LR,77.41,light rain,4.375,-7.7169,Screensaver
288,Kavieng,PG,82.13,broken clouds,-2.5744,150.7967,Nusa Island Retreat
292,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
293,Bafq,IR,76.24,clear sky,31.6128,55.4107,Alamdar Hotel
294,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
305,Pacific Grove,US,77.25,broken clouds,36.6177,-121.9166,Lovers Point Inn
309,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
319,Victoria,HK,84.33,broken clouds,22.2855,114.1577,Mini Hotel Central
320,Kousseri,CM,77.81,overcast clouds,12.0769,15.0306,Le Pilotis
323,Chenzhou,CN,77.02,clear sky,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
327,Praya,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
329,Port-Gentil,GA,78.3,overcast clouds,-0.7193,8.7815,Fengshui Residence
330,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
332,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
345,Bago,MM,75.09,light rain,17.3367,96.4797,Jade Garden
346,Thinadhoo,MV,83.68,overcast clouds,0.5333,72.9333,
348,Paka,MY,76.19,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
349,Breves,BR,75.65,broken clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
351,Hirara,JP,78.66,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
