City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kapaa,US,22.0752,-159.319,84.52,72,40,1.99,light rain
80,Te Anau,NZ,-45.4167,167.7167,39.15,88,70,1.54,broken clouds
81,Tiznit,MA,29.5833,-9.5,65.61,83,69,4.36,broken clouds
82,Dwarka,IN,22.2394,68.9678,81.36,88,90,14.16,overcast clouds
83,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.14,79,80,0.92,light rain
84,Nanortalik,GL,60.1432,-45.2371,38.79,86,100,5.93,overcast clouds
85,Bethel,US,41.3712,-73.414,72.72,85,75,1.01,broken clouds
86,Hilo,US,19.7297,-155.09,84.27,76,90,6.91,overcast clouds
87,Cabo San Lucas,MX,22.8909,-109.9124,88.9,70,20,8.05,few clouds
88,San Patricio,US,28.017,-97.5169,93.29,44,98,4.7,overcast clouds
89,Bredasdorp,ZA,-34.5322,20.0403,50.29,84,6,3.94,clear sky
90,Sioux Lookout,CA,50.1001,-91.917,57.58,94,75,6.91,broken clouds
91,Richards Bay,ZA,-28.783,32.0377,61.99,88,100,11.99,light rain
92,Roald,NO,62.5833,6.1333,55.9,100,75,4.61,broken clouds
93,Skjervoy,NO,70.0311,20.9714,45.59,69,100,12.73,overcast clouds
94,Hermanus,ZA,-34.4187,19.2345,50.81,76,21,7.38,few clouds
95,Mugumu,TZ,-1.85,34.7,64.35,75,38,4.38,scattered clouds
96,Rockhampton,AU,-23.3833,150.5,69.69,64,20,8.05,few clouds
97,Sitka,US,57.0531,-135.33,55.29,54,75,17.27,light rain
98,Mizdah,LY,31.4451,12.9801,72.77,38,0,7.09,clear sky
99,Provideniya,RU,64.3833,-173.3,41.11,65,75,6.71,broken clouds
100,Portland,US,45.5234,-122.6762,79.56,28,75,1.99,broken clouds
101,Upernavik,GL,72.7868,-56.1549,26.33,57,100,4.92,overcast clouds
102,Sakakah,SA,29.9697,40.2064,82.26,23,0,7.05,clear sky
103,Bay Roberts,CA,47.5999,-53.2648,65.34,92,100,7.0,overcast clouds
104,Dikson,RU,73.5069,80.5464,34.92,76,100,16.6,overcast clouds
105,Kununurra,AU,-15.7667,128.7333,80.58,74,22,3.44,few clouds
106,Sangin,AF,32.0728,64.8359,74.73,10,0,3.2,clear sky
107,Dingle,PH,10.9995,122.6711,75.63,94,100,4.12,overcast clouds
108,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,2.3,broken clouds
109,Pumiao,CN,22.75,108.4833,76.12,94,98,0.72,light rain
110,Hamilton,US,39.1834,-84.5333,80.94,70,1,1.01,clear sky
111,Aloleng,PH,16.1307,119.7824,80.42,82,92,2.04,light rain
112,Chiredzi,ZW,-21.05,31.6667,70.2,69,56,7.56,broken clouds
113,Batagay-Alyta,RU,67.8006,130.4114,38.7,93,100,7.29,overcast clouds
114,Riyadh,SA,24.6877,46.7219,78.94,14,22,8.01,few clouds
115,Watertown,US,42.3709,-71.1828,67.37,83,90,1.99,overcast clouds
116,Severo-Kurilsk,RU,50.6789,156.125,53.29,70,4,6.96,clear sky
117,Orlovskiy,RU,46.8714,42.0592,55.13,44,36,7.67,scattered clouds
118,Joensuu,FI,62.6012,29.7632,39.69,93,0,4.61,clear sky
119,Colesberg,ZA,-30.72,25.0972,42.33,73,0,14.88,clear sky
120,Georgetown,MY,5.4112,100.3354,80.53,83,20,4.61,few clouds
121,Velke Hamry,CZ,50.7137,15.3154,55.18,92,100,4.05,overcast clouds
122,Terme,TR,41.2092,36.9739,67.93,77,100,8.08,overcast clouds
123,Ilulissat,GL,69.2167,-51.1,21.22,63,0,4.61,clear sky
124,Paamiut,GL,61.994,-49.6678,38.12,71,100,5.61,overcast clouds
125,Sakai,JP,34.5833,135.4667,75.18,72,100,5.97,light rain
126,Waingapu,ID,-9.6567,120.2641,79.25,77,41,8.55,scattered clouds
127,Prince Rupert,CA,54.3161,-130.3201,53.69,66,90,13.8,light rain
128,Vanimo,PG,-2.6741,141.3028,79.2,79,82,6.26,broken clouds
129,Aklavik,CA,68.2191,-135.0107,55.83,54,4,9.69,clear sky
130,Mastic Beach,US,40.7668,-72.8521,74.16,85,90,1.99,overcast clouds
131,Parrita,CR,9.5201,-84.3225,83.07,86,90,1.5,overcast clouds
132,Nikolskoye,RU,59.7035,30.7861,40.01,94,23,1.63,few clouds
133,Bereda,ES,43.2686,-7.5406,58.01,100,17,0.36,few clouds
134,Lompoc,US,34.6391,-120.4579,77.14,73,1,13.8,clear sky
135,Kaitangata,NZ,-46.2817,169.8464,45.12,56,99,6.78,overcast clouds
136,Wasilla,US,61.5814,-149.4394,54.52,65,1,1.01,clear sky
137,Golkoy,TR,40.6875,37.6178,60.21,94,86,0.94,overcast clouds
138,Saint-Georges,GD,12.0564,-61.7485,83.88,74,20,23.02,few clouds
139,Lypcha,UA,48.2611,23.3834,62.82,87,100,4.34,overcast clouds
140,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.56,83,0,13.22,clear sky
141,Arraial Do Cabo,BR,-22.9661,-42.0278,70.05,92,100,17.13,overcast clouds
142,Uyar,RU,55.81,94.3153,45.46,98,100,5.64,light rain
143,Port Elizabeth,ZA,-33.918,25.5701,52.11,77,35,14.23,scattered clouds
144,Qaanaaq,GL,77.484,-69.3632,19.94,79,99,5.32,overcast clouds
145,Bambous Virieux,MU,-20.3428,57.7575,70.21,84,21,4.72,light rain
146,Ingham,US,42.6,-84.3833,76.48,59,40,10.36,scattered clouds
147,Labuhan,ID,-6.8844,112.2051,77.67,85,78,6.53,broken clouds
148,Albany,US,42.6001,-73.9662,71.76,83,28,1.14,scattered clouds
149,Beringovskiy,RU,63.05,179.3167,40.6,62,90,18.14,overcast clouds
150,Karratha,AU,-20.7377,116.8463,68.41,36,42,9.04,scattered clouds
151,Chumikan,RU,54.7183,135.315,50.67,59,59,30.29,broken clouds
152,Ronne,DK,55.1009,14.7066,60.71,100,90,3.44,overcast clouds
153,Solnechnyy,RU,50.7214,136.6319,56.97,76,38,3.83,scattered clouds
154,Bhainsa,IN,26.9548,76.9012,74.71,83,99,12.86,overcast clouds
