City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lorengau,PG,2021-09-13 17:07:21,-2.0226,147.2712,81.3,82,99,9.78
68,Vestmanna,FO,2021-09-13 17:07:21,62.1564,-7.1664,50.92,100,75,14.97
69,Longyearbyen,SJ,2021-09-13 17:03:10,78.2186,15.6401,33.64,80,0,1.14
70,Alofi,NU,2021-09-13 17:07:22,-19.0595,-169.9187,71.49,100,75,3.44
71,Waingapu,ID,2021-09-13 17:07:22,-9.6567,120.2641,77.9,80,23,5.37
72,Chuy,UY,2021-09-13 17:07:23,-33.6971,-53.4616,61.83,96,100,14.58
73,Tual,ID,2021-09-13 17:07:23,-5.6667,132.75,80.73,83,97,13.69
74,Khatanga,RU,2021-09-13 17:07:23,71.9667,102.5,44.74,71,25,8.1
75,Quilmana,PE,2021-09-13 17:07:24,-12.95,-76.3833,69.69,63,22,9.33
76,Portland,US,2021-09-13 17:05:39,45.5234,-122.6762,62.83,77,90,1.01
77,Carutapera,BR,2021-09-13 17:07:24,-1.195,-46.02,86.32,60,18,11.34
78,Bredasdorp,ZA,2021-09-13 17:07:25,-34.5322,20.0403,55.27,72,100,5.5
79,Cabo San Lucas,MX,2021-09-13 17:04:37,22.8909,-109.9124,90.18,70,1,8.05
80,Saskylakh,RU,2021-09-13 17:07:25,71.9167,114.0833,40.26,82,18,3.06
81,Dalvik,IS,2021-09-13 17:07:26,65.9702,-18.5286,54.28,82,100,10.51
82,Arraial Do Cabo,BR,2021-09-13 17:07:26,-22.9661,-42.0278,76.86,78,0,20.71
83,Faanui,PF,2021-09-13 17:07:27,-16.4833,-151.75,78.73,71,66,15.84
84,Preobrazheniye,RU,2021-09-13 17:07:27,42.9019,133.9064,59.34,81,84,4.43
85,Waipawa,NZ,2021-09-13 17:07:28,-41.4122,175.5153,48.83,94,100,2.28
86,Bluff,NZ,2021-09-13 17:07:28,-46.6,168.3333,33.8,63,86,10.83
87,New Norfolk,AU,2021-09-13 17:07:29,-42.7826,147.0587,38.71,74,27,2.48
88,Sal Rei,CV,2021-09-13 17:07:29,16.1833,-22.9167,86.56,70,40,9.22
